TEST LOG PRINT
SOO
Step 418, Validation Loss= 0.0091, Loss= 0.0081
Step 419, Validation Loss= 0.0089, Loss= 0.0074
Step 420, Validation Loss= 0.0087, Loss= 0.0073
Step 421, Validation Loss= 0.0085, Loss= 0.0064
Step 422, Validation Loss= 0.0082, Loss= 0.0056
Step 423, Validation Loss= 0.0079, Loss= 0.0050
Step 424, Validation Loss= 0.0075, Loss= 0.0042
Step 425, Validation Loss= 0.0071, Loss= 0.0036
Step 426, Validation Loss= 0.0067, Loss= 0.0026
Step 427, Validation Loss= 0.0062, Loss= 0.0022
Step 428, Validation Loss= 0.0058, Loss= 0.0015
Step 429, Validation Loss= 0.0053, Loss= 0.0012
Step 430, Validation Loss= 0.0049, Loss= 0.0017
Step 431, Validation Loss= 0.0046, Loss= 0.0011
Step 432, Validation Loss= 0.0042, Loss= 0.0010
Step 433, Validation Loss= 0.0039, Loss= 0.0016
Step 434, Validation Loss= 0.0037, Loss= 0.0015
Step 435, Validation Loss= 0.0034, Loss= 0.0012
Step 436, Validation Loss= 0.0033, Loss= 0.0017
Step 437, Validation Loss= 0.0034, Loss= 0.0044
Step 438, Validation Loss= 0.0035, Loss= 0.0048
Step 439, Validation Loss= 0.0037, Loss= 0.0057
Step 440, Validation Loss= 0.0042, Loss= 0.0085
Step 441, Validation Loss= 0.0044, Loss= 0.0062
Step 442, Validation Loss= 0.0047, Loss= 0.0069
Step 443, Validation Loss= 0.0051, Loss= 0.0089
Step 444, Validation Loss= 0.0052, Loss= 0.0067
Step 445, Validation Loss= 0.0055, Loss= 0.0080
Step 446, Validation Loss= 0.0059, Loss= 0.0095
Step 447, Validation Loss= 0.0060, Loss= 0.0071
Step 448, Validation Loss= 0.0063, Loss= 0.0086
Step 449, Validation Loss= 0.0066, Loss= 0.0094
Step 450, Validation Loss= 0.0075, Loss= 0.0157
Step 451, Validation Loss= 0.0077, Loss= 0.0096
Step 452, Validation Loss= 0.0080, Loss= 0.0102
Step 453, Validation Loss= 0.0083, Loss= 0.0116
Step 454, Validation Loss= 0.0087, Loss= 0.0117
Step 455, Validation Loss= 0.0088, Loss= 0.0102
Step 456, Validation Loss= 0.0088, Loss= 0.0090
Step 457, Validation Loss= 0.0091, Loss= 0.0119
Step 458, Validation Loss= 0.0091, Loss= 0.0088
Step 459, Validation Loss= 0.0091, Loss= 0.0086
Step 460, Validation Loss= 0.0092, Loss= 0.0106
Step 461, Validation Loss= 0.0091, Loss= 0.0079
Step 462, Validation Loss= 0.0090, Loss= 0.0086
Step 463, Validation Loss= 0.0090, Loss= 0.0084
Step 464, Validation Loss= 0.0088, Loss= 0.0077
Step 465, Validation Loss= 0.0087, Loss= 0.0079
Step 466, Validation Loss= 0.0086, Loss= 0.0076
Step 467, Validation Loss= 0.0086, Loss= 0.0084
Step 468, Validation Loss= 0.0085, Loss= 0.0075
Step 469, Validation Loss= 0.0084, Loss= 0.0074
Step 470, Validation Loss= 0.0083, Loss= 0.0077
Step 471, Validation Loss= 0.0081, Loss= 0.0066
Step 472, Validation Loss= 0.0079, Loss= 0.0056
Step 473, Validation Loss= 0.0076, Loss= 0.0052
Step 474, Validation Loss= 0.0073, Loss= 0.0048
Step 475, Validation Loss= 0.0069, Loss= 0.0034
Step 476, Validation Loss= 0.0065, Loss= 0.0026
Step 477, Validation Loss= 0.0062, Loss= 0.0029
Step 478, Validation Loss= 0.0057, Loss= 0.0017
Step 479, Validation Loss= 0.0053, Loss= 0.0013
Step 480, Validation Loss= 0.0049, Loss= 0.0021
Step 481, Validation Loss= 0.0046, Loss= 0.0018
Step 482, Validation Loss= 0.0043, Loss= 0.0013
Step 483, Validation Loss= 0.0041, Loss= 0.0021
Step 484, Validation Loss= 0.0040, Loss= 0.0028
Step 485, Validation Loss= 0.0038, Loss= 0.0020
Step 486, Validation Loss= 0.0036, Loss= 0.0023
Step 487, Validation Loss= 0.0039, Loss= 0.0061
Step 488, Validation Loss= 0.0042, Loss= 0.0069
Step 489, Validation Loss= 0.0044, Loss= 0.0067
Step 490, Validation Loss= 0.0051, Loss= 0.0108
Step 491, Validation Loss= 0.0053, Loss= 0.0077
Step 492, Validation Loss= 0.0057, Loss= 0.0087
Step 493, Validation Loss= 0.0061, Loss= 0.0102
Step 494, Validation Loss= 0.0062, Loss= 0.0073
Step 495, Validation Loss= 0.0066, Loss= 0.0096
Step 496, Validation Loss= 0.0069, Loss= 0.0096
Step 497, Validation Loss= 0.0069, Loss= 0.0074
Step 498, Validation Loss= 0.0072, Loss= 0.0099
Step 499, Validation Loss= 0.0074, Loss= 0.0087
Step 500, Validation Loss= 0.0080, Loss= 0.0136
Step 501, Validation Loss= 0.0081, Loss= 0.0087
Step 502, Validation Loss= 0.0083, Loss= 0.0100
Step 503, Validation Loss= 0.0084, Loss= 0.0096
Step 504, Validation Loss= 0.0087, Loss= 0.0118
Step 505, Validation Loss= 0.0088, Loss= 0.0098
Step 506, Validation Loss= 0.0088, Loss= 0.0083
Step 507, Validation Loss= 0.0091, Loss= 0.0124
